Date_measurement;RWZI_AWZI_code;RWZI_AWZI_name;X_coordinate;Y_coordinate;Postal_code;Security_region_code;Security_region_name;Percentage_in_security_region;RNA_per_ml;Representative_measurement
30-3-2020;32002;Tilburg;132554;401565;5048TD;VR20;Midden- en West-Brabant;1;1837;TRUE
31-3-2020;3010;Assen;234705;558203;9403AK;VR03;Drenthe;1;2254;TRUE
31-3-2020;2032;Harlingen;159027;576146;8861KT;VR02;Friesland;1;869;TRUE
31-3-2020;2011;Leeuwarden;184401;578940;8937AN;VR02;Friesland;1;424;TRUE
31-3-2020;1033;Garmerwolde;240219;585040;9798TC;VR01;Groningen;1;427;TRUE
31-3-2020;1008;Stadskanaal;260571;559393;9501LH;VR01;Groningen;1;200;TRUE
31-3-2020;4026;Zwolle;199604;502805;8042PK;VR04;IJsselland;1;890;TRUE
31-3-2020;10009;Utrecht;135481;458130;3552TJ;VR09;Utrecht;1;1826;TRUE
1-4-2020;3028;Sleen;249969;532246;7841BP;VR03;Drenthe;1;721;TRUE
1-4-2020;9016;Arnhem;187878;442241;6841HJ;VR07;Gelderland-Midden;0,864490095;984;TRUE
1-4-2020;9016;Arnhem;187878;442241;6841HJ;VR08;Gelderland-Zuid;0,135509905;984;TRUE
1-4-2020;15005;Houtrust;78484;455921;2566GJ;VR15;Haaglanden;1;2939;FALSE
1-4-2020;13030;Leimuiden;104642;470631;2451VX;VR16;Hollands-Midden;0,855650522;1642;TRUE
1-4-2020;13010;Haarlem-Waarderpolder;105881;489932;2031BH;VR12;Kennemerland;1;1606;TRUE
1-4-2020;13030;Leimuiden;104642;470631;2451VX;VR12;Kennemerland;0,144349478;1642;TRUE
1-4-2020;25020;Kaatsheuvel;129083;407604;5171VG;VR20;Midden- en West-Brabant;1;2025;TRUE
1-4-2020;25027;Lage Zwaluwe;107818;414149;4926CZ;VR20;Midden- en West-Brabant;1;883;TRUE
1-4-2020;7022;Etten;218761;438451;7061GK;VR06;Noord- en Oost-Gelderland;1;2493;TRUE
1-4-2020;5012;Oldenzaal;257703;481136;7576PE;VR05;Twente;1;1611;TRUE
1-4-2020;23002;Terneuzen;46894;368651;4538BJ;VR19;Zeeland;1;732;TRUE
2-4-2020;12022;Beverwijk;106373;498868;1948NS;VR12;Kennemerland;0,435961337;1041;TRUE
2-4-2020;30020;Venraij;196603;395898;5804CG;VR23;Limburg-Noord;1;1802;TRUE
2-4-2020;30007;Maastricht-Bosscherveld;175697;319239;6219NW;VR24;Limburg-Zuid;1;4350;TRUE
2-4-2020;12022;Beverwijk;106373;498868;1948NS;VR10;Noord-Holland-Noord;0,107744265;1041;TRUE
2-4-2020;12022;Beverwijk;106373;498868;1948NS;VR11;Zaanstreek-Waterland;0,456294399;1041;TRUE
5-4-2020;27008;Den Bosch;147493;415446;5221CD;VR21;Brabant-Noord;1;1689;TRUE
5-4-2020;29003;Land van Cuijk;189957;411781;5443PL;VR21;Brabant-Noord;1;4264;TRUE
5-4-2020;6004;Lelystad;158268;501627;8243PE;VR25;Flevoland;1;729;TRUE
5-4-2020;4027;Tollebeek;175622;521799;8309PP;VR25;Flevoland;1;1668;TRUE
5-4-2020;10027;Amersfoort;152483;464648;3812RH;VR09;Utrecht;1;1344;TRUE
5-4-2020;23002;Terneuzen;46894;368651;4538BJ;VR19;Zeeland;1;1336;TRUE
6-4-2020;28005;Dinther;165227;405407;5473XL;VR21;Brabant-Noord;1;3224;TRUE
6-4-2020;32002;Tilburg;132554;401565;5048TD;VR20;Midden- en West-Brabant;1;222;TRUE
7-4-2020;3010;Assen;234705;558203;9403AK;VR03;Drenthe;1;74;TRUE
7-4-2020;2032;Harlingen;159027;576146;8861KT;VR02;Friesland;1;321;TRUE
7-4-2020;2011;Leeuwarden;184401;578940;8937AN;VR02;Friesland;1;903;TRUE
7-4-2020;9016;Arnhem;187878;442241;6841HJ;VR07;Gelderland-Midden;0,864490095;175;TRUE
7-4-2020;9016;Arnhem;187878;442241;6841HJ;VR08;Gelderland-Zuid;0,135509905;175;TRUE
7-4-2020;1033;Garmerwolde;240219;585040;9798TC;VR01;Groningen;1;951;TRUE
7-4-2020;1008;Stadskanaal;260571;559393;9501LH;VR01;Groningen;1;37;TRUE
7-4-2020;13030;Leimuiden;104642;470631;2451VX;VR16;Hollands-Midden;0,855650522;870;TRUE
7-4-2020;4026;Zwolle;199604;502805;8042PK;VR04;IJsselland;1;1844;TRUE
7-4-2020;13010;Haarlem-Waarderpolder;105881;489932;2031BH;VR12;Kennemerland;1;1546;TRUE
7-4-2020;13030;Leimuiden;104642;470631;2451VX;VR12;Kennemerland;0,144349478;870;TRUE
7-4-2020;10009;Utrecht;135481;458130;3552TJ;VR09;Utrecht;1;1484;TRUE
7-4-2020;21001;Walcheren;31809;385219;4389VM;VR19;Zeeland;1;1053;TRUE
8-4-2020;3028;Sleen;249969;532246;7841BP;VR03;Drenthe;1;128;TRUE
8-4-2020;6004;Lelystad;158268;501627;8243PE;VR25;Flevoland;1;1658;TRUE
8-4-2020;4027;Tollebeek;175622;521799;8309PP;VR25;Flevoland;1;1858;TRUE
8-4-2020;12022;Beverwijk;106373;498868;1948NS;VR12;Kennemerland;0,435961337;1093;TRUE
8-4-2020;30020;Venraij;196603;395898;5804CG;VR23;Limburg-Noord;1;991;TRUE
8-4-2020;30007;Maastricht-Bosscherveld;175697;319239;6219NW;VR24;Limburg-Zuid;1;4706;TRUE
8-4-2020;25020;Kaatsheuvel;129083;407604;5171VG;VR20;Midden- en West-Brabant;1;1585;TRUE
8-4-2020;25027;Lage Zwaluwe;107818;414149;4926CZ;VR20;Midden- en West-Brabant;1;1990;TRUE
8-4-2020;7022;Etten;218761;438451;7061GK;VR06;Noord- en Oost-Gelderland;1;2199;TRUE
8-4-2020;12022;Beverwijk;106373;498868;1948NS;VR10;Noord-Holland-Noord;0,107744265;1093;TRUE
8-4-2020;5012;Oldenzaal;257703;481136;7576PE;VR05;Twente;1;785;TRUE
8-4-2020;12022;Beverwijk;106373;498868;1948NS;VR11;Zaanstreek-Waterland;0,456294399;1093;TRUE
