Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;
Neder-Betuwe;1740;Neder-Betuwe;24339;2020-12-02;2020-12-15;Neder-Betuwe;225;924,4;2;8,2;1;4,1;;WAAR;Neder-Betuwe
Nederweert;946;Nederweert;17019;2020-12-02;2020-12-15;Nederweert;191;1122,3;0;0;2;11,8;;WAAR;Nederweert
Nieuwegein;356;Nieuwegein;63462;2020-12-02;2020-12-15;Nieuwegein;301;474,3;4;6,3;1;1,6;;WAAR;Nieuwegein
Nieuwkoop;569;Nieuwkoop;28811;2020-12-02;2020-12-15;Nieuwkoop;210;728,9;4;13,9;2;6,9;;WAAR;Nieuwkoop
Nijkerk;267;Nijkerk;43171;2020-12-02;2020-12-15;Nijkerk;336;778,3;0;0;0;0;;WAAR;Nijkerk
Nijmegen;268;Nijmegen;177659;2020-12-02;2020-12-15;Nijmegen;707;398;2;1,1;0;0;;WAAR;Nijmegen
Nissewaard;1930;Nissewaard;85219;2020-12-02;2020-12-15;Nissewaard;345;404,8;7;8,2;1;1,2;;WAAR;Nissewaard
Noardeast-Fryslan;1970;Noardeast-Fryslan;45228;2020-12-02;2020-12-15;Noardeast-Fryslan;184;406,8;1;2,2;1;2,2;;WAAR;Noardeast-Fryslan
Noord-Beveland;1695;Noord-Beveland;7392;2020-12-02;2020-12-15;Noord-Beveland;8;108,2;0;0;0;0;;WAAR;Noord-Beveland
Noordenveld;1699;Noordenveld;31253;2020-12-02;2020-12-15;Noordenveld;54;172,8;2;6,4;0;0;;WAAR;Noordenveld
Noordoostpolder;171;Noordoostpolder;47291;2020-12-02;2020-12-15;Noordoostpolder;385;814,1;1;2,1;3;6,3;;WAAR;Noordoostpolder
Noordwijk;575;Noordwijk;43508;2020-12-02;2020-12-15;Noordwijk;216;496,5;0;0;1;2,3;;WAAR;Noordwijk
Nuenen, Gerwen en Nederwetten;820;Nuenen, Gerwen en Nederwetten;23383;2020-12-02;2020-12-15;Nuenen, Gerwen en Nederwetten;95;406,3;0;0;1;4,3;;WAAR;Nuenen, Gerwen en Nederwetten
Nunspeet;302;Nunspeet;27851;2020-12-02;2020-12-15;Nunspeet;124;445,2;2;7,2;1;3,6;;WAAR;Nunspeet
Oegstgeest;579;Oegstgeest;24840;2020-12-02;2020-12-15;Oegstgeest;166;668,3;0;0;3;12,1;;WAAR;Oegstgeest
Oirschot;823;Oirschot;18714;2020-12-02;2020-12-15;Oirschot;119;635,9;1;5,3;1;5,3;;WAAR;Oirschot
Oisterwijk;824;Oisterwijk;26245;2020-12-02;2020-12-15;Oisterwijk;219;834,4;2;7,6;1;3,8;;WAAR;Oisterwijk
Oldambt;1895;Oldambt;38209;2020-12-02;2020-12-15;Oldambt;126;329,8;0;0;0;0;;WAAR;Oldambt
Oldebroek;269;Oldebroek;23646;2020-12-02;2020-12-15;Oldebroek;138;583,6;1;4,2;0;0;;WAAR;Oldebroek
Oldenzaal;173;Oldenzaal;31836;2020-12-02;2020-12-15;Oldenzaal;168;527,7;2;6,3;2;6,3;;WAAR;Oldenzaal
Olst-Wijhe;1773;Olst-Wijhe;18252;2020-12-02;2020-12-15;Olst-Wijhe;80;438,3;0;0;0;0;;WAAR;Olst-Wijhe
Ommen;175;Ommen;18009;2020-12-02;2020-12-15;Ommen;55;305,4;0;0;0;0;;WAAR;Ommen
Oost Gelre;1586;Oost Gelre;29627;2020-12-02;2020-12-15;Oost Gelre;158;533,3;0;0;0;0;;WAAR;Oost Gelre
Oosterhout;826;Oosterhout;55982;2020-12-02;2020-12-15;Oosterhout;352;628,8;4;7,1;4;7,1;;WAAR;Oosterhout
Ooststellingwerf;85;Ooststellingwerf;25469;2020-12-02;2020-12-15;Ooststellingwerf;52;204,2;1;3,9;0;0;;WAAR;Ooststellingwerf
Oostzaan;431;Oostzaan;9735;2020-12-02;2020-12-15;Oostzaan;64;657,4;0;0;0;0;;WAAR;Oostzaan
Opmeer;432;Opmeer;11836;2020-12-02;2020-12-15;Opmeer;71;599,9;0;0;0;0;;WAAR;Opmeer
Opsterland;86;Opsterland;29733;2020-12-02;2020-12-15;Opsterland;85;285,9;2;6,7;1;3,4;;WAAR;Opsterland
Oss;828;Oss;91915;2020-12-02;2020-12-15;Oss;417;453,7;3;3,3;0;0;;WAAR;Oss
Oude IJsselstreek;1509;Oude IJsselstreek;39388;2020-12-02;2020-12-15;Oude IJsselstreek;172;436,7;1;2,5;2;5,1;;WAAR;Oude IJsselstreek
Ouder-Amstel;437;Ouder-Amstel;14026;2020-12-02;2020-12-15;Ouder-Amstel;88;627,4;0;0;0;0;;WAAR;Ouder-Amstel
Oudewater;589;Oudewater;10230;2020-12-02;2020-12-15;Oudewater;73;713,6;0;0;0;0;;WAAR;Oudewater
Overbetuwe;1734;Overbetuwe;47906;2020-12-02;2020-12-15;Overbetuwe;195;407;0;0;0;0;;WAAR;Overbetuwe
Papendrecht;590;Papendrecht;32136;2020-12-02;2020-12-15;Papendrecht;217;675,3;0;0;2;6,2;;WAAR;Papendrecht
Peel en Maas;1894;Peel en Maas;43425;2020-12-02;2020-12-15;Peel en Maas;234;538,9;0;0;0;0;;WAAR;Peel en Maas
Pekela;765;Pekela;12196;2020-12-02;2020-12-15;Pekela;38;311,6;1;8,2;0;0;;WAAR;Pekela
Pijnacker-Nootdorp;1926;Pijnacker-Nootdorp;55308;2020-12-02;2020-12-15;Pijnacker-Nootdorp;399;721,4;0;0;0;0;;WAAR;Pijnacker-Nootdorp
Purmerend;439;Purmerend;81249;2020-12-02;2020-12-15;Purmerend;336;413,5;4;4,9;0;0;;WAAR;Purmerend
Putten;273;Putten;24112;2020-12-02;2020-12-15;Putten;173;717,5;0;0;0;0;;WAAR;Putten
Raalte;177;Raalte;37712;2020-12-02;2020-12-15;Raalte;374;991,7;0;0;0;0;;WAAR;Raalte
Reimerswaal;703;Reimerswaal;22730;2020-12-02;2020-12-15;Reimerswaal;138;607,1;1;4,4;0;0;;WAAR;Reimerswaal
Renkum;274;Renkum;31419;2020-12-02;2020-12-15;Renkum;138;439,2;0;0;5;15,9;;WAAR;Renkum
Renswoude;339;Renswoude;5444;2020-12-02;2020-12-15;Renswoude;66;1212,3;0;0;0;0;;WAAR;Renswoude
Reusel-De Mierden;1667;Reusel-De Mierden;13112;2020-12-02;2020-12-15;Reusel-De Mierden;85;648,3;0;0;1;7,6;;WAAR;Reusel-De Mierden
Rheden;275;Rheden;43761;2020-12-02;2020-12-15;Rheden;274;626,1;2;4,6;1;2,3;;WAAR;Rheden
Rhenen;340;Rhenen;20119;2020-12-02;2020-12-15;Rhenen;300;1491,1;0;0;1;5;;WAAR;Rhenen
Ridderkerk;597;Ridderkerk;46189;2020-12-02;2020-12-15;Ridderkerk;224;485;4;8,7;4;8,7;;WAAR;Ridderkerk
Rijssen-Holten;1742;Rijssen-Holten;38177;2020-12-02;2020-12-15;Rijssen-Holten;335;877,5;2;5,2;0;0;;WAAR;Rijssen-Holten
Rijswijk;603;Rijswijk (ZH.);54450;2020-12-02;2020-12-15;Rijswijk (ZH.);267;490,4;1;1,8;0;0;;WAAR;Rijswijk (ZH.)
Roerdalen;1669;Roerdalen;20574;2020-12-02;2020-12-15;Roerdalen;138;670,7;1;4,9;0;0;;WAAR;Roerdalen
Roermond;957;Roermond;58260;2020-12-02;2020-12-15;Roermond;341;585,3;1;1,7;1;1,7;;WAAR;Roermond
Roosendaal;1674;Roosendaal;77251;2020-12-02;2020-12-15;Roosendaal;376;486,7;0;0;1;1,3;;WAAR;Roosendaal
Rotterdam;599;Rotterdam;651157;2020-12-02;2020-12-15;Rotterdam;2759;423,7;27;4,1;14;2,2;;WAAR;Rotterdam
Rozendaal;277;Rozendaal;1704;2020-12-02;2020-12-15;Rozendaal;17;997,7;0;0;0;0;;WAAR;Rozendaal
Rucphen;840;Rucphen;22878;2020-12-02;2020-12-15;Rucphen;106;463,3;2;8,7;0;0;;WAAR;Rucphen
Schagen;441;Schagen;46483;2020-12-02;2020-12-15;Schagen;207;445,3;1;2,2;1;2,2;;WAAR;Schagen
Scherpenzeel;279;Scherpenzeel;9880;2020-12-02;2020-12-15;Scherpenzeel;163;1649,8;0;0;1;10,1;;WAAR;Scherpenzeel
Schiedam;606;Schiedam;78730;2020-12-02;2020-12-15;Schiedam;367;466,2;8;10,2;7;8,9;;WAAR;Schiedam
Schiermonnikoog;88;Schiermonnikoog;947;2020-12-02;2020-12-15;Schiermonnikoog;2;211,2;0;0;0;0;;WAAR;Schiermonnikoog
Schouwen-Duiveland;1676;Schouwen-Duiveland;33839;2020-12-02;2020-12-15;Schouwen-Duiveland;95;280,7;1;3;0;0;;WAAR;Schouwen-Duiveland
's-Gravenhage;518;'s-Gravenhage (gemeente);545838;2020-12-02;2020-12-15;'s-Gravenhage (gemeente);2271;416,1;19;3,5;6;1,1;;WAAR;'s-Gravenhage (gemeente)
's-Hertogenbosch;796;'s-Hertogenbosch;155111;2020-12-02;2020-12-15;'s-Hertogenbosch;928;598,3;3;1,9;4;2,6;;WAAR;'s-Hertogenbosch
Simpelveld;965;Simpelveld;10555;2020-12-02;2020-12-15;Simpelveld;71;672,7;1;9,5;0;0;;WAAR;Simpelveld
Sint Anthonis;1702;Sint Anthonis;11664;2020-12-02;2020-12-15;Sint Anthonis;79;677,3;0;0;0;0;;WAAR;Sint Anthonis
Sint-Michielsgestel;845;Sint-Michielsgestel;29208;2020-12-02;2020-12-15;Sint-Michielsgestel;238;814,8;0;0;0;0;;WAAR;Sint-Michielsgestel
Sittard-Geleen;1883;Sittard-Geleen;92429;2020-12-02;2020-12-15;Sittard-Geleen;545;589,6;4;4,3;2;2,2;;WAAR;Sittard-Geleen
Sliedrecht;610;Sliedrecht;25220;2020-12-02;2020-12-15;Sliedrecht;282;1118,2;1;4;4;15,9;;WAAR;Sliedrecht
Sluis;1714;Sluis;23210;2020-12-02;2020-12-15;Sluis;173;745,4;3;12,9;0;0;;WAAR;Sluis
Smallingerland;90;Smallingerland;56150;2020-12-02;2020-12-15;Smallingerland;112;199,5;0;0;1;1,8;;WAAR;Smallingerland
Soest;342;Soest;46606;2020-12-02;2020-12-15;Soest;249;534,3;2;4,3;2;4,3;;WAAR;Soest
Someren;847;Someren;19368;2020-12-02;2020-12-15;Someren;100;516,3;0;0;0;0;;WAAR;Someren
Son en Breugel;848;Son en Breugel;17322;2020-12-02;2020-12-15;Son en Breugel;65;375,2;0;0;3;17,3;;WAAR;Son en Breugel
Stadskanaal;37;Stadskanaal;31686;2020-12-02;2020-12-15;Stadskanaal;227;716,4;3;9,5;1;3,2;;WAAR;Stadskanaal
Staphorst;180;Staphorst;17145;2020-12-02;2020-12-15;Staphorst;126;734,9;0;0;0;0;;WAAR;Staphorst
Stede Broec;532;Stede Broec;21726;2020-12-02;2020-12-15;Stede Broec;145;667,4;0;0;0;0;;WAAR;Stede Broec
Steenbergen;851;Steenbergen;24416;2020-12-02;2020-12-15;Steenbergen;88;360,4;0;0;0;0;;WAAR;Steenbergen
Steenwijkerland;1708;Steenwijkerland;44126;2020-12-02;2020-12-15;Steenwijkerland;176;398,9;0;0;0;0;;WAAR;Steenwijkerland
Stein;971;Stein (L.);25007;2020-12-02;2020-12-15;Stein (L.);191;763,8;3;12;0;0;;WAAR;Stein (L.)
Stichtse Vecht;1904;Stichtse Vecht;64931;2020-12-02;2020-12-15;Stichtse Vecht;399;614,5;4;6,2;7;10,8;;WAAR;Stichtse Vecht
Sudwest-Fryslan;1900;Sudwest-Fryslan;89987;2020-12-02;2020-12-15;Sudwest-Fryslan;505;561,2;1;1,1;2;2,2;;WAAR;Sudwest-Fryslan
Terneuzen;715;Terneuzen;54426;2020-12-02;2020-12-15;Terneuzen;268;492,4;0;0;1;1,8;;WAAR;Terneuzen
Terschelling;93;Terschelling;4888;2020-12-02;2020-12-15;Terschelling;6;122,7;0;0;0;0;;WAAR;Terschelling
Texel;448;Texel;13575;2020-12-02;2020-12-15;Texel;16;117,9;0;0;0;0;;WAAR;Texel
Teylingen;1525;Teylingen;37440;2020-12-02;2020-12-15;Teylingen;288;769,2;0;0;1;2,7;;WAAR;Teylingen
Tholen;716;Tholen;25757;2020-12-02;2020-12-15;Tholen;106;411,5;1;3,9;2;7,8;;WAAR;Tholen
Tiel;281;Tiel;42159;2020-12-02;2020-12-15;Tiel;229;543,2;4;9,5;3;7,1;;WAAR;Tiel
Tilburg;855;Tilburg;219789;2020-12-02;2020-12-15;Tilburg;1429;650,2;9;4,1;14;6,4;;WAAR;Tilburg
Tubbergen;183;Tubbergen;21275;2020-12-02;2020-12-15;Tubbergen;93;437,1;0;0;0;0;;WAAR;Tubbergen
Twenterand;1700;Twenterand;33743;2020-12-02;2020-12-15;Twenterand;254;752,7;1;3;0;0;;WAAR;Twenterand
Tynaarlo;1730;Tynaarlo;33887;2020-12-02;2020-12-15;Tynaarlo;64;188,9;0;0;0;0;;WAAR;Tynaarlo
Tytsjerksteradiel;737;Tytsjerksteradiel;32052;2020-12-02;2020-12-15;Tytsjerksteradiel;63;196,6;1;3,1;0;0;;WAAR;Tytsjerksteradiel
Uden;856;Uden;42119;2020-12-02;2020-12-15;Uden;247;586,4;0;0;0;0;;WAAR;Uden
Uitgeest;450;Uitgeest;13666;2020-12-02;2020-12-15;Uitgeest;118;863,5;0;0;2;14,6;;WAAR;Uitgeest
Uithoorn;451;Uithoorn;29478;2020-12-02;2020-12-15;Uithoorn;113;383,3;0;0;0;0;;WAAR;Uithoorn
Urk;184;Urk;21031;2020-12-02;2020-12-15;Urk;234;1112,6;3;14,3;1;4,8;;WAAR;Urk
Utrecht;344;Utrecht (gemeente);357597;2020-12-02;2020-12-15;Utrecht (gemeente);1542;431,2;9;2,5;6;1,7;;WAAR;Utrecht (gemeente)
Utrechtse Heuvelrug;1581;Utrechtse Heuvelrug;49580;2020-12-02;2020-12-15;Utrechtse Heuvelrug;392;790,6;7;14,1;2;4;;WAAR;Utrechtse Heuvelrug
Vaals;981;Vaals;10105;2020-12-02;2020-12-15;Vaals;36;356,3;0;0;3;29,7;;WAAR;Vaals
Valkenburg aan de Geul;994;Valkenburg aan de Geul;16367;2020-12-02;2020-12-15;Valkenburg aan de Geul;104;635,4;2;12,2;1;6,1;;WAAR;Valkenburg aan de Geul
Valkenswaard;858;Valkenswaard;31193;2020-12-02;2020-12-15;Valkenswaard;189;605,9;2;6,4;0;0;;WAAR;Valkenswaard
Veendam;47;Veendam;27384;2020-12-02;2020-12-15;Veendam;113;412,6;0;0;1;3,7;;WAAR;Veendam
Veenendaal;345;Veenendaal;66493;2020-12-02;2020-12-15;Veenendaal;818;1230,2;7;10,5;8;12;;WAAR;Veenendaal
Veere;717;Veere;21880;2020-12-02;2020-12-15;Veere;68;310,8;0;0;0;0;;WAAR;Veere
Veldhoven;861;Veldhoven;45466;2020-12-02;2020-12-15;Veldhoven;265;582,9;1;2,2;1;2,2;;WAAR;Veldhoven
Velsen;453;Velsen;68648;2020-12-02;2020-12-15;Velsen;397;578,3;3;4,4;6;8,7;;WAAR;Velsen
Venlo;983;Venlo;101802;2020-12-02;2020-12-15;Venlo;728;715,1;3;2,9;5;4,9;;WAAR;Venlo
Venray;984;Venray;43614;2020-12-02;2020-12-15;Venray;423;969,9;0;0;0;0;;WAAR;Venray
Vijfheerenlanden;1961;Vijfheerenlanden;56811;2020-12-02;2020-12-15;Vijfheerenlanden;354;623,1;1;1,8;1;1,8;;WAAR;Vijfheerenlanden
Vlaardingen;622;Vlaardingen;73397;2020-12-02;2020-12-15;Vlaardingen;374;509,6;8;10,9;1;1,4;;WAAR;Vlaardingen
Vlieland;96;Vlieland;1155;2020-12-02;2020-12-15;Vlieland;0;0;0;0;0;0;;WAAR;Vlieland
Vlissingen;718;Vlissingen;44360;2020-12-02;2020-12-15;Vlissingen;79;178,1;2;4,5;0;0;;WAAR;Vlissingen
Voerendaal;986;Voerendaal;12475;2020-12-02;2020-12-15;Voerendaal;53;424,8;0;0;0;0;;WAAR;Voerendaal
Voorschoten;626;Voorschoten;25596;2020-12-02;2020-12-15;Voorschoten;130;507,9;1;3,9;0;0;;WAAR;Voorschoten
Voorst;285;Voorst;24552;2020-12-02;2020-12-15;Voorst;142;578,4;1;4,1;0;0;;WAAR;Voorst
Vught;865;Vught;26558;2020-12-02;2020-12-15;Vught;302;1137,1;3;11,3;2;7,5;;WAAR;Vught
Waadhoeke;1949;Waadhoeke;46090;2020-12-02;2020-12-15;Waadhoeke;108;234,3;0;0;0;0;;WAAR;Waadhoeke
Waalre;866;Waalre;17456;2020-12-02;2020-12-15;Waalre;96;550;0;0;0;0;;WAAR;Waalre
Waalwijk;867;Waalwijk;48637;2020-12-02;2020-12-15;Waalwijk;363;746,3;1;2,1;2;4,1;;WAAR;Waalwijk
Waddinxveen;627;Waddinxveen;29291;2020-12-02;2020-12-15;Waddinxveen;212;723,8;3;10,2;1;3,4;;WAAR;Waddinxveen
Wageningen;289;Wageningen;39664;2020-12-02;2020-12-15;Wageningen;216;544,6;0;0;2;5;;WAAR;Wageningen
Wassenaar;629;Wassenaar;26305;2020-12-02;2020-12-15;Wassenaar;152;577,8;1;3,8;2;7,6;;WAAR;Wassenaar
Waterland;852;Waterland;17424;2020-12-02;2020-12-15;Waterland;116;665,7;1;5,7;0;0;;WAAR;Waterland
Weert;988;Weert;50105;2020-12-02;2020-12-15;Weert;593;1183,5;2;4;4;8;;WAAR;Weert
Weesp;457;Weesp;19738;2020-12-02;2020-12-15;Weesp;175;886,6;0;0;0;0;;WAAR;Weesp
West Betuwe;1960;West Betuwe;51128;2020-12-02;2020-12-15;West Betuwe;446;872,3;3;5,9;1;2;;WAAR;West Betuwe
West Maas en Waal;668;West Maas en Waal;19324;2020-12-02;2020-12-15;West Maas en Waal;79;408,8;0;0;0;0;;WAAR;West Maas en Waal
Westerkwartier;1969;Westerkwartier;63329;2020-12-02;2020-12-15;Westerkwartier;180;284,2;0;0;0;0;;WAAR;Westerkwartier
Westerveld;1701;Westerveld;19460;2020-12-02;2020-12-15;Westerveld;39;200,4;0;0;0;0;;WAAR;Westerveld
Westervoort;293;Westervoort;14971;2020-12-02;2020-12-15;Westervoort;95;634,6;0;0;0;0;;WAAR;Westervoort
Westerwolde;1950;Westerwolde;25733;2020-12-02;2020-12-15;Westerwolde;144;559,6;0;0;0;0;;WAAR;Westerwolde
Westland;1783;Westland;110375;2020-12-02;2020-12-15;Westland;967;876,1;6;5,4;4;3,6;;WAAR;Westland
Weststellingwerf;98;Weststellingwerf;25914;2020-12-02;2020-12-15;Weststellingwerf;55;212,2;0;0;0;0;;WAAR;Weststellingwerf
Westvoorne;614;Westvoorne;14731;2020-12-02;2020-12-15;Westvoorne;44;298,7;0;0;0;0;;WAAR;Westvoorne
Wierden;189;Wierden;24446;2020-12-02;2020-12-15;Wierden;223;912,2;1;4,1;3;12,3;;WAAR;Wierden
Wijchen;296;Wijchen;41110;2020-12-02;2020-12-15;Wijchen;329;800,3;2;4,9;3;7,3;;WAAR;Wijchen
Wijdemeren;1696;Wijdemeren;24358;2020-12-02;2020-12-15;Wijdemeren;127;521,4;2;8,2;1;4,1;;WAAR;Wijdemeren
Wijk bij Duurstede;352;Wijk bij Duurstede;23914;2020-12-02;2020-12-15;Wijk bij Duurstede;79;330,4;0;0;1;4,2;;WAAR;Wijk bij Duurstede
Winterswijk;294;Winterswijk;28854;2020-12-02;2020-12-15;Winterswijk;127;440,1;0;0;0;0;;WAAR;Winterswijk
Woensdrecht;873;Woensdrecht;21876;2020-12-02;2020-12-15;Woensdrecht;60;274,3;0;0;0;0;;WAAR;Woensdrecht
Woerden;632;Woerden;52299;2020-12-02;2020-12-15;Woerden;380;726,6;0;0;0;0;;WAAR;Woerden
Wormerland;880;Wormerland;16270;2020-12-02;2020-12-15;Wormerland;66;405,7;0;0;1;6,1;;WAAR;Wormerland
Woudenberg;351;Woudenberg;13362;2020-12-02;2020-12-15;Woudenberg;243;1818,6;0;0;1;7,5;;WAAR;Woudenberg
Zaanstad;479;Zaanstad;156794;2020-12-02;2020-12-15;Zaanstad;1037;661,4;7;4,5;10;6,4;;WAAR;Zaanstad
Zaltbommel;297;Zaltbommel;28881;2020-12-02;2020-12-15;Zaltbommel;311;1076,8;0;0;5;17,3;;WAAR;Zaltbommel
Zandvoort;473;Zandvoort;17116;2020-12-02;2020-12-15;Zandvoort;101;590,1;0;0;1;5,8;;WAAR;Zandvoort
Zeewolde;50;Zeewolde;22653;2020-12-02;2020-12-15;Zeewolde;93;410,5;0;0;0;0;;WAAR;Zeewolde
Zeist;355;Zeist;64905;2020-12-02;2020-12-15;Zeist;378;582,4;1;1,5;0;0;;WAAR;Zeist
Zevenaar;299;Zevenaar;43750;2020-12-02;2020-12-15;Zevenaar;158;361,1;0;0;1;2,3;;WAAR;Zevenaar
Zoetermeer;637;Zoetermeer;125285;2020-12-02;2020-12-15;Zoetermeer;834;665,7;0;0;1;0,8;;WAAR;Zoetermeer
Zoeterwoude;638;Zoeterwoude;8605;2020-12-02;2020-12-15;Zoeterwoude;41;476,5;0;0;0;0;;WAAR;Zoeterwoude
Zuidplas;1892;Zuidplas;43885;2020-12-02;2020-12-15;Zuidplas;244;556;2;4,6;3;6,8;;WAAR;Zuidplas
Zundert;879;Zundert;21829;2020-12-02;2020-12-15;Zundert;89;407,7;0;0;0;0;;WAAR;Zundert
Zutphen;301;Zutphen;47934;2020-12-02;2020-12-15;Zutphen;141;294,2;2;4,2;0;0;;WAAR;Zutphen
Zwartewaterland;1896;Zwartewaterland;22685;2020-12-02;2020-12-15;Zwartewaterland;102;449,6;1;4,4;0;0;;WAAR;Zwartewaterland
Zwijndrecht;642;Zwijndrecht;44737;2020-12-02;2020-12-15;Zwijndrecht;229;511,9;0;0;2;4,5;;WAAR;Zwijndrecht
Zwolle;193;Zwolle;128840;2020-12-02;2020-12-15;Zwolle;446;346,2;0;0;0;0;;WAAR;Zwolle
