"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Schiermonnikoog";88;"Schiermonnikoog";947;"18-11-2020";"01-12-2020";0;0;0;0;0;0
"Schouwen-Duiveland";1676;"Schouwen-Duiveland";33839;"18-11-2020";"01-12-2020";43;127,1;0;0;0;0
"Simpelveld";965;"Simpelveld";10555;"18-11-2020";"01-12-2020";28;265,3;0;0;0;0
"Sint Anthonis";1702;"Sint Anthonis";11664;"18-11-2020";"01-12-2020";36;308,6;0;0;0;0
"Sint-Michielsgestel";845;"Sint-Michielsgestel";29208;"18-11-2020";"01-12-2020";76;260,2;0;0;1;3,4
"Sittard-Geleen";1883;"Sittard-Geleen";92429;"18-11-2020";"01-12-2020";259;280,2;4;4,3;5;5,4
"Sliedrecht";610;"Sliedrecht";25220;"18-11-2020";"01-12-2020";128;507,5;0;0;0;0
"Sluis";1714;"Sluis";23210;"18-11-2020";"01-12-2020";96;413,6;0;0;0;0
"Smallingerland";90;"Smallingerland";56150;"18-11-2020";"01-12-2020";76;135,4;1;1,8;1;1,8
"Soest";342;"Soest";46606;"18-11-2020";"01-12-2020";136;291,8;3;6,4;0;0
"Someren";847;"Someren";19368;"18-11-2020";"01-12-2020";120;619,6;1;5,2;0;0
"Son en Breugel";848;"Son en Breugel";17322;"18-11-2020";"01-12-2020";74;427,2;0;0;0;0
"Stadskanaal";37;"Stadskanaal";31686;"18-11-2020";"01-12-2020";100;315,6;0;0;0;0
"Staphorst";180;"Staphorst";17145;"18-11-2020";"01-12-2020";73;425,8;0;0;0;0
"Stede Broec";532;"Stede Broec";21726;"18-11-2020";"01-12-2020";46;211,7;0;0;0;0
"Steenbergen";851;"Steenbergen";24416;"18-11-2020";"01-12-2020";79;323,6;1;4,1;0;0
"Steenwijkerland";1708;"Steenwijkerland";44126;"18-11-2020";"01-12-2020";92;208,5;0;0;0;0
"Stein";971;"Stein";25007;"18-11-2020";"01-12-2020";65;259,9;1;4;0;0
"Stichtse Vecht";1904;"Stichtse Vecht";64931;"18-11-2020";"01-12-2020";316;486,7;3;4,6;2;3,1
"Súdwest-Fryslân";1900;"Súdwest-Fryslân";89987;"18-11-2020";"01-12-2020";318;353,4;2;2,2;7;7,8
"Terneuzen";715;"Terneuzen";54426;"18-11-2020";"01-12-2020";250;459,3;2;3,7;1;1,8
"Terschelling";93;"Terschelling";4888;"18-11-2020";"01-12-2020";4;81,8;0;0;0;0
"Texel";448;"Texel";13575;"18-11-2020";"01-12-2020";3;22,1;0;0;0;0
"Teylingen";1525;"Teylingen";37440;"18-11-2020";"01-12-2020";149;398;2;5,3;0;0
"Tholen";716;"Tholen";25757;"18-11-2020";"01-12-2020";105;407,7;1;3,9;1;3,9
"Tiel";281;"Tiel";42159;"18-11-2020";"01-12-2020";136;322,6;1;2,4;2;4,7
"Tilburg";855;"Tilburg";219789;"18-11-2020";"01-12-2020";1100;500,5;2;0,9;12;5,5
"Tubbergen";183;"Tubbergen";21275;"18-11-2020";"01-12-2020";145;681,6;0;0;1;4,7
"Twenterand";1700;"Twenterand";33743;"18-11-2020";"01-12-2020";150;444,5;1;3;0;0
"Tynaarlo";1730;"Tynaarlo";33887;"18-11-2020";"01-12-2020";36;106,2;0;0;3;8,9
"Tytsjerksteradiel";737;"Tytsjerksteradiel";32052;"18-11-2020";"01-12-2020";44;137,3;0;0;0;0
"Uden";856;"Uden";42119;"18-11-2020";"01-12-2020";156;370,4;1;2,4;1;2,4
"Uitgeest";450;"Uitgeest";13666;"18-11-2020";"01-12-2020";59;431,7;0;0;0;0
"Uithoorn";451;"Uithoorn";29478;"18-11-2020";"01-12-2020";125;424;2;6,8;1;3,4
"Urk";184;"Urk";21031;"18-11-2020";"01-12-2020";499;2372,7;4;19;4;19
"Utrecht";344;"Utrecht";357597;"18-11-2020";"01-12-2020";1195;334,2;17;4,8;5;1,4
"Utrechtse Heuvelrug";1581;"Utrechtse Heuvelrug";49580;"18-11-2020";"01-12-2020";142;286,4;2;4;0;0
"Vaals";981;"Vaals";10105;"18-11-2020";"01-12-2020";32;316,7;1;9,9;0;0
"Valkenburg aan de Geul";994;"Valkenburg aan de Geul";16367;"18-11-2020";"01-12-2020";60;366,6;0;0;1;6,1
"Valkenswaard";858;"Valkenswaard";31193;"18-11-2020";"01-12-2020";119;381,5;0;0;1;3,2
"Veendam";47;"Veendam";27384;"18-11-2020";"01-12-2020";39;142,4;0;0;0;0
"Veenendaal";345;"Veenendaal";66493;"18-11-2020";"01-12-2020";480;721,9;6;9;2;3
"Veere";717;"Veere";21880;"18-11-2020";"01-12-2020";21;96;1;4,6;0;0
"Veldhoven";861;"Veldhoven";45466;"18-11-2020";"01-12-2020";158;347,5;0;0;3;6,6
"Velsen";453;"Velsen";68648;"18-11-2020";"01-12-2020";279;406,4;2;2,9;3;4,4
"Venlo";983;"Venlo";101802;"18-11-2020";"01-12-2020";317;311,4;2;2;5;4,9
"Venray";984;"Venray";43614;"18-11-2020";"01-12-2020";140;321;1;2,3;0;0
"Vijfheerenlanden";1961;"Vijfheerenlanden";56811;"18-11-2020";"01-12-2020";262;461,2;0;0;5;8,8
"Vlaardingen";622;"Vlaardingen";73397;"18-11-2020";"01-12-2020";313;426,4;4;5,4;5;6,8
"Vlieland";96;"Vlieland";1155;"18-11-2020";"01-12-2020";1;86,6;0;0;0;0
"Vlissingen";718;"Vlissingen";44360;"18-11-2020";"01-12-2020";57;128,5;0;0;1;2,3
"Voerendaal";986;"Voerendaal";12475;"18-11-2020";"01-12-2020";28;224,4;0;0;0;0
"Voorschoten";626;"Voorschoten";25596;"18-11-2020";"01-12-2020";65;253,9;0;0;1;3,9
"Voorst";285;"Voorst";24552;"18-11-2020";"01-12-2020";52;211,8;0;0;0;0
"Vught";865;"Vught";26558;"18-11-2020";"01-12-2020";162;610;0;0;2;7,5
"Waadhoeke";1949;"Waadhoeke";46090;"18-11-2020";"01-12-2020";71;154;1;2,2;4;8,7
"Waalre";866;"Waalre";17456;"18-11-2020";"01-12-2020";50;286,4;0;0;1;5,7
"Waalwijk";867;"Waalwijk";48637;"18-11-2020";"01-12-2020";244;501,7;1;2,1;5;10,3
"Waddinxveen";627;"Waddinxveen";29291;"18-11-2020";"01-12-2020";124;423,3;4;13,7;2;6,8
"Wageningen";289;"Wageningen";39664;"18-11-2020";"01-12-2020";160;403,4;1;2,5;3;7,6
"Wassenaar";629;"Wassenaar";26305;"18-11-2020";"01-12-2020";75;285,1;2;7,6;0;0
"Waterland";852;"Waterland";17424;"18-11-2020";"01-12-2020";42;241;0;0;1;5,7
"Weert";988;"Weert";50105;"18-11-2020";"01-12-2020";224;447,1;1;2;4;8
"Weesp";457;"Weesp";19738;"18-11-2020";"01-12-2020";64;324,2;0;0;0;0
"West Betuwe";1960;"West Betuwe";51128;"18-11-2020";"01-12-2020";328;641,5;4;7,8;3;5,9
"West Maas en Waal";668;"West Maas en Waal";19324;"18-11-2020";"01-12-2020";42;217,3;0;0;0;0
"Westerkwartier";1969;"Westerkwartier";63329;"18-11-2020";"01-12-2020";93;146,9;1;1,6;0;0
"Westerveld";1701;"Westerveld";19460;"18-11-2020";"01-12-2020";28;143,9;0;0;0;0
"Westervoort";293;"Westervoort";14971;"18-11-2020";"01-12-2020";102;681,3;0;0;0;0
"Westerwolde";1950;"Westerwolde";25733;"18-11-2020";"01-12-2020";91;353,6;1;3,9;0;0
"Westland";1783;"Westland";110375;"18-11-2020";"01-12-2020";681;617;6;5,4;10;9,1
"Weststellingwerf";98;"Weststellingwerf";25914;"18-11-2020";"01-12-2020";44;169,8;0;0;0;0
"Westvoorne";614;"Westvoorne";14731;"18-11-2020";"01-12-2020";23;156,1;0;0;0;0
"Wierden";189;"Wierden";24446;"18-11-2020";"01-12-2020";171;699,5;1;4,1;2;8,2
"Wijchen";296;"Wijchen";41110;"18-11-2020";"01-12-2020";129;313,8;0;0;1;2,4
"Wijdemeren";1696;"Wijdemeren";24358;"18-11-2020";"01-12-2020";42;172,4;0;0;0;0
"Wijk bij Duurstede";352;"Wijk bij Duurstede";23914;"18-11-2020";"01-12-2020";103;430,7;0;0;0;0
"Winterswijk";294;"Winterswijk";28854;"18-11-2020";"01-12-2020";98;339,6;0;0;1;3,5
"Woensdrecht";873;"Woensdrecht";21876;"18-11-2020";"01-12-2020";82;374,8;0;0;1;4,6
"Woerden";632;"Woerden";52299;"18-11-2020";"01-12-2020";256;489,5;2;3,8;2;3,8
"Wormerland";880;"Wormerland";16270;"18-11-2020";"01-12-2020";60;368,8;0;0;0;0
"Woudenberg";351;"Woudenberg";13362;"18-11-2020";"01-12-2020";57;426,6;0;0;0;0
"Zaanstad";479;"Zaanstad";156794;"18-11-2020";"01-12-2020";707;450,9;7;4,5;8;5,1
"Zaltbommel";297;"Zaltbommel";28881;"18-11-2020";"01-12-2020";155;536,7;1;3,5;0;0
"Zandvoort";473;"Zandvoort";17116;"18-11-2020";"01-12-2020";48;280,4;0;0;0;0
"Zeewolde";50;"Zeewolde";22653;"18-11-2020";"01-12-2020";50;220,7;0;0;1;4,4
"Zeist";355;"Zeist";64905;"18-11-2020";"01-12-2020";191;294,3;2;3,1;3;4,6
"Zevenaar";299;"Zevenaar";43750;"18-11-2020";"01-12-2020";105;240;0;0;1;2,3
"Zoetermeer";637;"Zoetermeer";125285;"18-11-2020";"01-12-2020";577;460,5;4;3,2;3;2,4
"Zoeterwoude";638;"Zoeterwoude";8605;"18-11-2020";"01-12-2020";45;523;0;0;0;0
"Zuidplas";1892;"Zuidplas";43885;"18-11-2020";"01-12-2020";178;405,6;5;11,4;1;2,3
"Zundert";879;"Zundert";21829;"18-11-2020";"01-12-2020";41;187,8;2;9,2;1;4,6
"Zutphen";301;"Zutphen";47934;"18-11-2020";"01-12-2020";151;315;0;0;0;0
"Zwartewaterland";1896;"Zwartewaterland";22685;"18-11-2020";"01-12-2020";83;365,9;1;4,4;1;4,4
"Zwijndrecht";642;"Zwijndrecht";44737;"18-11-2020";"01-12-2020";158;353,2;0;0;3;6,7
"Zwolle";193;"Zwolle";128840;"18-11-2020";"01-12-2020";250;194;1;0,8;1;0,8
